Time,Object Name,Status,Value,Units,Alert ID,Priority
12.03.2025 15:11:29,TIC Turbo Speed,,1.6,,0,0
12.03.2025 15:11:29,TIC Turbo Power,,6.3,,0,0
12.03.2025 15:11:29,TIC Gauge 1,11,3.5246e+00,59,0,0
12.03.2025 15:11:29,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 15:11:29,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 15:11:31,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 15:11:31,TIC Turbo Speed,,1.6,,0,0
12.03.2025 15:11:31,TIC Turbo Power,,8.0,,0,0
12.03.2025 15:11:31,TIC Gauge 1,11,3.5196e+00,59,0,0
12.03.2025 15:11:31,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 15:11:33,TIC Turbo Speed,,1.6,,0,0
12.03.2025 15:11:33,TIC Turbo Power,,6.1,,0,0
12.03.2025 15:11:33,TIC Gauge 1,11,3.5246e+00,59,0,0
12.03.2025 15:11:33,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 15:11:33,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 15:11:35,TIC Turbo Speed,,1.6,,0,0
12.03.2025 15:11:35,TIC Turbo Power,,6.1,,0,0
12.03.2025 15:11:35,TIC Gauge 1,11,3.5246e+00,59,0,0
12.03.2025 15:11:35,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 15:11:35,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 15:11:37,TIC Turbo Speed,,1.6,,0,0
12.03.2025 15:11:37,TIC Turbo Power,,7.3,,0,0
12.03.2025 15:11:37,TIC Gauge 1,11,3.5435e+00,59,0,0
12.03.2025 15:11:37,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 15:11:37,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 15:11:39,TIC Turbo Speed,,1.6,,0,0
12.03.2025 15:11:39,TIC Turbo Power,,7.3,,0,0
12.03.2025 15:11:39,TIC Gauge 1,11,3.5806e+00,59,0,0
