Time,Object Name,Status,Value,Units,Alert ID,Priority
12.03.2025 14:07:23,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:23,TIC Turbo Power,,7.5,,0,0
12.03.2025 14:07:23,TIC Gauge 1,11,3.1594e+01,59,0,0
12.03.2025 14:07:23,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:23,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:25,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:25,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:07:25,TIC Gauge 1,11,3.1594e+01,59,0,0
12.03.2025 14:07:25,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:25,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:27,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:27,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:07:27,TIC Gauge 1,11,3.1647e+01,59,0,0
12.03.2025 14:07:27,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:27,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:29,TIC Gauge 1,11,3.1594e+01,59,0,0
12.03.2025 14:07:29,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:29,TIC Turbo Power,,7.3,,0,0
12.03.2025 14:07:29,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:30,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:31,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:31,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:07:31,TIC Gauge 1,11,3.1594e+01,59,0,0
12.03.2025 14:07:32,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:32,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:33,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:33,TIC Turbo Power,,8.2,,0,0
12.03.2025 14:07:34,TIC Gauge 1,11,3.1594e+01,59,0,0
12.03.2025 14:07:34,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:34,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:35,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:35,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:07:36,TIC Gauge 1,11,3.1647e+01,59,0,0
12.03.2025 14:07:36,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:36,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:37,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:38,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:38,TIC Turbo Power,,8.2,,0,0
12.03.2025 14:07:38,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:38,TIC Gauge 1,11,3.1594e+01,59,0,0
12.03.2025 14:07:40,TIC Gauge 1,11,3.1594e+01,59,0,0
12.03.2025 14:07:40,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:40,TIC Turbo Power,,7.0,,0,0
12.03.2025 14:07:40,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:40,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:42,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:42,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:07:42,TIC Gauge 1,11,3.1594e+01,59,0,0
12.03.2025 14:07:42,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:42,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:44,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:44,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:07:44,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:07:44,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:44,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:46,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:46,TIC Turbo Power,,7.5,,0,0
12.03.2025 14:07:46,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:07:46,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:46,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:48,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:48,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:48,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:07:48,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:07:48,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:50,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:50,TIC Turbo Power,,8.0,,0,0
12.03.2025 14:07:50,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:07:50,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:50,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:52,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:52,TIC Turbo Power,,7.5,,0,0
12.03.2025 14:07:52,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:07:52,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:52,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:54,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:54,TIC Turbo Power,,7.5,,0,0
12.03.2025 14:07:54,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:07:54,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:54,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:56,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:56,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:07:56,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:07:56,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:56,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:58,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:58,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:07:58,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:07:58,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:58,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:00,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:00,TIC Turbo Power,,6.3,,0,0
12.03.2025 14:08:00,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:08:00,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:00,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:02,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:02,TIC Turbo Power,,7.3,,0,0
12.03.2025 14:08:02,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:08:02,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:03,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:04,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:04,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:04,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:08:04,TIC Gauge 1,11,3.1854e+01,59,0,0
12.03.2025 14:08:04,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:06,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:08:06,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:06,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:08:07,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:07,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:08,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:08,TIC Turbo Power,,8.0,,0,0
12.03.2025 14:08:09,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:08:09,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:09,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:10,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:11,TIC Turbo Power,,7.5,,0,0
12.03.2025 14:08:11,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:08:11,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:11,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:13,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:13,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:13,TIC Turbo Power,,6.5,,0,0
12.03.2025 14:08:13,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:08:13,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:15,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:15,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:15,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:08:15,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:15,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:08:17,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:17,TIC Turbo Power,,7.0,,0,0
12.03.2025 14:08:17,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:08:17,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:17,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:19,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:19,TIC Turbo Power,,7.3,,0,0
12.03.2025 14:08:19,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:08:19,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:19,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:21,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:21,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:21,TIC Turbo Power,,7.0,,0,0
12.03.2025 14:08:21,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:08:21,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:23,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:23,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:23,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:08:23,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:08:23,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:25,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:25,TIC Turbo Power,,8.0,,0,0
12.03.2025 14:08:25,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:08:25,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:25,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:27,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:27,TIC Turbo Power,,7.5,,0,0
12.03.2025 14:08:27,TIC Gauge 1,11,3.1800e+01,59,0,0
12.03.2025 14:08:27,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:27,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:29,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:29,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:08:29,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:08:29,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:29,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:31,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:31,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:31,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:08:31,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:08:31,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:33,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:33,TIC Turbo Power,,8.2,,0,0
12.03.2025 14:08:33,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:08:33,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:33,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:35,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:35,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:08:35,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:08:35,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:35,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:37,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:37,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:08:37,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:08:37,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:38,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:39,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:39,TIC Turbo Power,,7.5,,0,0
12.03.2025 14:08:39,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:08:39,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:40,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:41,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:41,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:41,TIC Turbo Power,,7.0,,0,0
12.03.2025 14:08:41,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:42,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:08:43,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:43,TIC Turbo Power,,8.4,,0,0
12.03.2025 14:08:44,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:08:44,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:44,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:45,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:46,TIC Turbo Power,,7.5,,0,0
12.03.2025 14:08:46,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:08:46,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:46,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:48,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:48,TIC Turbo Power,,8.2,,0,0
12.03.2025 14:08:48,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:08:48,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:48,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:50,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:50,TIC Turbo Power,,6.1,,0,0
