t (s),V (mV)
0,18.3362
1.05,18.2788
2.099,18.2165
3.138,18.1524
4.139,18.0911
5.139,18.0286
6.138,17.9658
7.139,17.9026
8.139,17.839
9.138,17.7758
10.144,17.7142
11.138,17.6484
12.139,17.5863
13.138,17.5233
14.139,17.461
15.139,17.3985
16.139,17.3358
17.139,17.2737
18.138,17.2127
19.139,17.1509
20.139,17.0897
21.138,17.0282
22.139,16.9674
23.139,16.9076
24.139,16.8462
25.138,16.7873
26.139,16.7271
27.139,16.6679
28.143,16.6092
29.139,16.5487
30.139,16.4892
31.139,16.4307
32.139,16.3714
33.139,16.3132
34.139,16.2548
35.138,16.1974
36.138,16.1398
37.139,16.0826
38.139,16.0252
39.139,15.9687
40.138,15.9114
41.138,15.8555
42.138,15.7986
43.138,15.7429
44.139,15.6878
45.139,15.6316
46.143,15.5777
47.138,15.5206
48.139,15.4658
49.138,15.4116
50.139,15.3572
51.138,15.302
52.139,15.2486
53.139,15.1938
54.138,15.1411
55.139,15.0869
56.138,15.0332
57.138,14.9806
58.139,14.9277
59.139,14.8754
60.138,14.8235
61.139,14.7708
62.139,14.7187
63.139,14.6663
64.138,14.6145
65.138,14.5631
66.139,14.5115
67.138,14.4601
68.139,14.4093
69.139,14.3589
70.143,14.3092
71.139,14.2575
72.138,14.2073
73.139,14.1573
74.139,14.1069
75.138,14.0568
76.138,14.0073
77.139,13.958
78.139,13.9091
79.139,13.859
80.139,13.81
81.138,13.7611
82.138,13.7141
83.138,13.6655
84.138,13.6173
85.138,13.5692
86.138,13.5215
87.138,13.4739
88.143,13.4297
89.139,13.3804
90.139,13.3333
91.139,13.2857
92.139,13.2384
93.138,13.1924
94.138,13.1451
95.138,13.0987
96.138,13.0533
97.138,13.0071
98.138,12.9607
99.138,12.9157
100.138,12.8688
101.139,12.8246
102.138,12.7778
103.138,12.7335
104.138,12.6889
105.138,12.6453
106.139,12.6005
107.139,12.556
108.138,12.5112
109.138,12.4684
110.138,12.4246
111.138,12.3806
112.139,12.3368
113.139,12.2938
114.139,12.2509
115.139,12.2081
116.138,12.1655
117.138,12.1228
118.143,12.0805
119.138,12.0383
120.138,11.9953
121.14,11.9519
122.139,11.9107
123.139,11.8691
124.139,11.8273
125.139,11.7865
126.139,11.7452
127.138,11.7039
128.139,11.6634
129.139,11.6217
130.143,11.5786
131.139,11.5406
132.139,11.5006
133.139,11.4596
134.139,11.4187
135.139,11.3788
136.144,11.3368
137.138,11.2993
138.138,11.2591
139.138,11.2197
140.138,11.1809
141.138,11.141
142.138,11.1022
143.139,11.0638
144.139,11.0243
145.139,10.986
146.139,10.948
147.139,10.9087
148.139,10.8704
149.139,10.8325
150.139,10.7943
