t (s),V (mV)
0,15.7777
1.014,15.7567
2.019,15.727
3.013,15.6889
4.013,15.6462
5.014,15.6146
6.014,15.5833
7.014,15.5496
8.013,15.5154
9.013,15.4831
10.014,15.4494
11.013,15.4147
12.014,15.3819
13.014,15.3478
14.013,15.3141
15.014,15.2808
16.013,15.247
17.014,15.2128
18.013,15.1792
19.014,15.145
20.013,15.1117
21.013,15.0773
22.014,15.0437
23.014,15.0089
24.014,14.9761
25.013,14.9422
26.013,14.9079
27.013,14.8742
28.014,14.8411
29.014,14.8076
30.013,14.775
31.013,14.7414
32.013,14.7082
33.013,14.6749
34.013,14.6428
35.013,14.6099
36.013,14.5761
37.014,14.5426
38.019,14.5122
39.013,14.4772
40.013,14.4438
41.014,14.4113
42.014,14.3797
43.014,14.3474
44.014,14.3152
45.014,14.284
46.013,14.2521
47.013,14.2208
48.013,14.1892
49.014,14.1576
50.013,14.1265
51.013,14.0959
52.013,14.0647
53.014,14.0336
54.013,14.003
55.013,13.9733
56.019,13.9445
57.013,13.9108
58.014,13.8808
59.013,13.8498
60.014,13.8199
61.013,13.791
62.013,13.7613
63.013,13.732
64.013,13.7017
65.014,13.6727
66.013,13.6432
67.013,13.6132
68.014,13.5836
69.013,13.5547
70.013,13.5251
71.014,13.4953
72.013,13.4658
73.014,13.4364
74.013,13.4067
75.014,13.3782
76.014,13.35
77.014,13.3213
78.014,13.2917
79.013,13.2639
80.013,13.2371
81.013,13.2082
82.013,13.1798
83.013,13.1514
84.013,13.1227
85.014,13.0943
86.013,13.0668
87.014,13.0374
88.013,13.0095
89.013,12.9818
90.014,12.9531
91.014,12.9244
92.013,12.8966
93.014,12.8682
94.014,12.8411
95.013,12.813
96.014,12.7848
97.014,12.7571
98.013,12.7294
99.014,12.7025
100.013,12.6743
101.014,12.6465
102.013,12.6194
103.014,12.5921
104.019,12.5636
105.014,12.5374
106.013,12.5113
107.013,12.4829
108.014,12.4557
109.013,12.4297
110.014,12.4015
111.014,12.3762
112.014,12.3486
113.013,12.3226
114.014,12.2957
115.013,12.2698
116.019,12.2443
117.014,12.2176
118.013,12.2109
119.014,12.182
120.013,12.1559
121.014,12.1292
122.013,12.1038
123.014,12.0789
124.013,12.0531
125.014,12.0282
126.014,12.0028
127.014,11.9778
128.014,11.953
129.014,11.9275
130.014,11.9032
131.015,11.8783
132.013,11.8527
133.013,11.8279
134.013,11.8038
135.014,11.7783
136.014,11.7543
137.013,11.7291
138.013,11.7051
139.014,11.6801
140.018,11.6559
141.013,11.63
142.013,11.6061
143.014,11.5821
144.014,11.5581
145.013,11.5331
146.014,11.5088
147.013,11.4879
148.014,11.4653
149.013,11.442
150.014,11.4181
151.013,11.3942
152.014,11.3703
153.013,11.3461
154.014,11.3226
155.013,11.2995
156.014,11.2755
157.014,11.251
158.014,11.2282
159.013,11.2048
160.014,11.1826
161.013,11.1589
162.014,11.1354
163.014,11.1121
164.014,11.0898
165.014,11.0668
166.013,11.0442
167.014,11.0212
168.013,10.999
169.014,10.9753
170.013,10.9528
171.013,10.9307
172.014,10.9068
173.013,10.8854
174.014,10.862
175.013,10.8396
176.014,10.8166
177.013,10.7944
178.013,10.7725
179.013,10.7493
180.013,10.7275
181.014,10.7048
182.013,10.6831
183.014,10.6598
184.013,10.6383
185.013,10.615
186.013,10.5931
187.012,10.5712
188.012,10.5493
189.013,10.5262
190.013,10.5048
191.012,10.4832
192.012,10.4625
193.013,10.4403
194.013,10.4176
195.012,10.3969
196.012,10.3756
197.012,10.354
198.012,10.3334
199.012,10.3119
200.013,10.2919
201.012,10.2707
202.012,10.2494
203.013,10.2285
204.013,10.2091
205.012,10.1879
206.012,10.1673
207.012,10.1473
208.013,10.1271
209.013,10.1063
210.012,10.0864
211.012,10.0665
212.017,10.0468
213.012,10.0238
214.012,10.0031
215.013,9.9834
216.014,9.9629
217.013,9.9423
